2026-07-06 16:47:33 | INFO | domnak | GET / -> 200 (9ms)
2026-07-06 16:47:33 | INFO | domnak | GET /favicon.ico -> 404 (0ms)
2026-07-06 16:50:31 | INFO | domnak | GET /health/ready -> 200 (1572ms)
2026-07-06 16:50:38 | INFO | domnak | GET /health/ready -> 200 (401ms)
2026-07-06 18:01:47 | INFO | domnak | GET /health/ready -> 200 (1232ms)
2026-07-06 18:09:35 | INFO | domnak | POST /chat/stream -> 404 (10ms)
2026-07-06 18:17:12 | INFO | domnak | POST /api/v1/chat/stream -> 404 (9ms)
2026-07-06 18:19:19 | INFO | domnak | POST /api/v1/chat/stream -> 404 (1ms)
2026-07-06 18:19:46 | INFO | domnak | POST /api/v1/chat/stream -> 404 (2ms)
2026-07-06 18:19:46 | INFO | domnak | POST /api/v1/chat/stream -> 404 (1ms)
2026-07-07 15:58:24 | INFO | domnak | POST /api/v1/auth/signup -> 200 (1204ms)
2026-07-07 15:58:27 | INFO | domnak | POST /api/v1/auth/signup -> 400 (198ms)
2026-07-07 15:58:34 | INFO | domnak | POST /api/v1/auth/login -> 200 (1353ms)
2026-07-07 15:59:18 | INFO | domnak | POST /api/v1/quotes/ -> 200 (813ms)
2026-07-07 15:59:26 | INFO | domnak | POST /api/v1/line-items/ -> 500 (714ms)
2026-07-07 15:59:30 | INFO | domnak | POST /api/v1/line-items/ -> 500 (331ms)
2026-07-07 15:59:35 | INFO | domnak | POST /api/v1/analyze/ -> 404 (7ms)
2026-07-07 16:00:03 | INFO | domnak | POST /api/v1/line-items/ -> 200 (1451ms)
2026-07-07 16:00:14 | INFO | domnak | POST /api/v1/line-items/ -> 200 (1011ms)
2026-07-07 16:00:19 | ERROR | domnak | Analysis failed for quote a65ac4f3-3e4d-49a9-961f-6bea1750687b: {'message': 'invalid input value for enum verdict_type: "overpriced"', 'code': '22P02', 'hint': None, 'details': None}
2026-07-07 16:00:19 | INFO | domnak | POST /api/v1/analyze/a65ac4f3-3e4d-49a9-961f-6bea1750687b -> 500 (2526ms)
2026-07-07 16:28:14 | INFO | domnak | GET /health/ready -> 200 (1257ms)
2026-07-07 16:28:18 | INFO | domnak | POST /api/v1/auth/signup -> 400 (535ms)
2026-07-07 16:28:26 | INFO | domnak | POST /api/v1/auth/login -> 200 (1350ms)
2026-07-07 16:28:39 | INFO | domnak | POST /api/v1/quotes/ -> 200 (853ms)
2026-07-07 16:28:48 | INFO | domnak | POST /api/v1/line-items/ -> 200 (992ms)
2026-07-07 16:28:56 | ERROR | domnak | Analysis failed for quote e2e696c5-0c2c-400f-93ed-c34642a1bd17: {'message': 'invalid input value for enum verdict_type: "overpriced"', 'code': '22P02', 'hint': None, 'details': None}
2026-07-07 16:28:56 | INFO | domnak | POST /api/v1/analyze/e2e696c5-0c2c-400f-93ed-c34642a1bd17 -> 500 (2212ms)
2026-07-07 16:38:40 | INFO | domnak | GET /docs -> 200 (2ms)
2026-07-07 16:38:41 | INFO | domnak | GET /openapi.json -> 200 (40ms)
2026-07-07 16:46:00 | INFO | domnak | POST /api/v1/auth/signup -> 422 (9ms)
2026-07-07 16:46:49 | INFO | domnak | POST /api/v1/auth/signup -> 200 (1125ms)
2026-07-07 16:47:21 | INFO | domnak | POST /api/v1/auth/login -> 422 (8ms)
2026-07-07 16:47:40 | INFO | domnak | POST /api/v1/auth/login -> 200 (1230ms)
2026-07-07 16:55:07 | INFO | domnak | POST /api/v1/auth/login -> 200 (2131ms)
2026-07-07 16:55:18 | INFO | domnak | POST /api/v1/auth/login -> 200 (919ms)
2026-07-07 16:55:18 | INFO | domnak | GET /api/v1/auth/me -> 422 (10ms)
2026-07-07 16:55:51 | INFO | domnak | POST /api/v1/auth/login -> 200 (1108ms)
2026-07-07 16:55:51 | INFO | domnak | GET /api/v1/auth/me -> 200 (297ms)
2026-07-07 16:56:21 | INFO | domnak | POST /api/v1/auth/login -> 200 (828ms)
2026-07-07 16:56:22 | INFO | domnak | POST /api/v1/quotes/ -> 200 (340ms)
2026-07-07 16:56:28 | INFO | domnak | POST /api/v1/auth/login -> 200 (1006ms)
2026-07-07 16:56:29 | INFO | domnak | POST /api/v1/line-items/ -> 200 (821ms)
2026-07-07 16:56:29 | INFO | domnak | GET /api/v1/quotes/ -> 200 (443ms)
2026-07-07 16:56:30 | INFO | domnak | GET /api/v1/line-items/ -> 200 (448ms)
2026-07-07 16:56:35 | INFO | domnak | POST /api/v1/auth/login -> 200 (736ms)
2026-07-07 16:56:37 | ERROR | domnak | Analysis failed for quote 1debe18a-f9f3-49a1-a22f-a368714ebeed: {'message': 'invalid input value for enum verdict_type: "overpriced"', 'code': '22P02', 'hint': None, 'details': None}
2026-07-07 16:56:37 | INFO | domnak | POST /api/v1/analyze/1debe18a-f9f3-49a1-a22f-a368714ebeed -> 500 (1971ms)
2026-07-07 17:02:22 | INFO | domnak | POST /api/v1/auth/login -> 200 (1391ms)
2026-07-07 17:06:55 | INFO | domnak | GET /api/v1/auth/me -> 404 (983ms)
2026-07-07 17:07:36 | INFO | domnak | POST /api/v1/auth/signup -> 400 (536ms)
2026-07-07 17:07:43 | INFO | domnak | POST /api/v1/auth/signup -> 400 (275ms)
2026-07-07 17:08:13 | INFO | domnak | POST /api/v1/auth/login -> 200 (1177ms)
2026-07-07 17:08:44 | INFO | domnak | GET /api/v1/auth/me -> 404 (561ms)
2026-07-07 17:09:02 | INFO | domnak | GET /api/v1/auth/me -> 200 (268ms)
2026-07-07 17:09:02 | INFO | domnak | GET /api/v1/auth/me -> 422 (2ms)
2026-07-07 17:09:02 | INFO | domnak | GET /api/v1/auth/me -> 422 (1ms)
2026-07-07 17:09:08 | INFO | domnak | GET /api/v1/auth/me -> 404 (269ms)
